Presion,Temperatura,Frecuencia,Potencia_Medida,Potencia_Estimada
0.775747873,16.9,0,71.46656241,77.43255618
0.776314729,16.6,0,71.44276759,77.49819406
0.776783702,16.6,0,71.3476526,77.47715131
0.777092521,16.4,0,71.24480667,77.52400974
0.777435742,16.4,0,71.19410129,77.50860945
0.77725633,16.7,0,70.96139925,77.42558699
0.77710814,16.7,0,70.77028317,77.43223625
0.777218217,16.8,0,70.66385472,77.39693956
0.777231692,16.8,0,70.62113464,77.39633496
0.777090108,16.5,0,70.53494029,77.49376043
0.77706346,16.5,0,70.54238506,77.49495615
0.775451966,16.5,0,70.57451877,77.56726369
0.772614065,16.5,0,70.8024239,77.69459995
0.770113371,16.6,0,71.00899467,77.77644824
0.768126941,16.6,0,71.24978226,77.86557912
0.766318789,16.6,0,71.43851171,77.94671071
0.762018263,16.6,0,71.7085504,78.13967479
0.75537945,16.9,0,72.41924534,78.34648488
0.749741886,16.9,0,73.31776939,78.59944172
0.745464601,17.4,0.19493,74.33223905,78.77228352
0.743706427,17.4,2.817673333,76.89414707,80.6367352
0.743679506,17.3,8.636833333,80.18691784,84.62998255
0.743642944,17.3,14.35268,82.45200803,88.52296925
0.743767135,17.2,19.54993,85.30487721,92.08604014
0.744018881,17.2,23.61770333,88.32838433,94.84408281
0.744282808,17.4,26.03101,91.11462783,96.41450355
0.744296422,17.4,27.83999,93.69819545,97.64544557
0.744089913,17.8,30.08974667,96.05248533,99.06491491
0.744220292,17.8,32.82200667,98.21704661,100.9191863
0.744137527,17.9,35.58349333,99.90851116,102.7725615
0.744215313,17.9,37.73721667,101.5363523,104.2353253
0.74416605,18.1,40.45271,102.8283789,106.0255274
0.744232853,18.1,42.69265333,104.0387756,107.5474825
0.744251078,18.4,44.50700667,104.9451244,108.6908031
0.744153656,18.4,46.74169333,106.0640385,110.2165482
0.744366165,18.8,48.29907333,106.8402399,111.1458465
0.744274787,18.8,50.20178667,107.5303603,112.4453131
0.744395443,19,51.52545333,108.1673399,113.280336
0.744684406,19,52.15478333,108.5601626,113.6958178
0.744427158,19.2,53.06496667,108.8873733,114.2662979
0.744482207,19.2,54,109.4717212,114.9003982
0.744950289,19.1,54,109.6287413,114.9097529
0.74507262,19.1,54,109.7148124,114.904264
0.745529694,19,54,109.7082437,114.9141126
0.745936499,19,54,109.6391374,114.8958594
0.746321381,19.1,54,109.5909254,114.8482322
0.746984745,19.1,54,109.7534486,114.8184671
0.747272738,19.6,54,109.524175,114.6537572
0.747575688,19.6,54,109.4292542,114.6401639
0.747703533,19.8,54,109.4681249,114.5737124
0.747757506,19.8,54,109.3397637,114.5712906
0.747771595,19.6,54,109.2846478,114.6313735
0.747609394,19.6,54,109.2461016,114.6386515
0.74767109,20,54,109.2473017,114.514453
0.74738679,20,54,109.1392066,114.5272095
0.747231629,21.1,54,108.9281104,114.2002385
0.74715464,21.1,54,108.8535579,114.203693
0.747151947,20.9,54,108.9099586,114.264529
0.747292668,20.9,54,108.9178767,114.2582148
0.747037998,21.1,54,108.8597406,114.2089267
0.747101961,21.1,54,108.7781575,114.2060567
0.747184096,20.9,54,108.7280368,114.2630864
0.747108804,20.9,54,108.7910632,114.2664648
0.747081708,20.6,54,108.8621354,114.3587532
0.746771275,20.6,54,108.9660387,114.3726823
0.74610998,20.9,54,108.7272382,114.3112819
0.745705872,20.9,54,108.7056084,114.3294142
0.745004217,22.5,54,108.5870646,113.8751766
0.744795868,22.5,54,108.4919063,113.8845252
0.744536189,22.9,55.24040333,108.712347,114.6192128
0.744419264,22.9,56.19953333,109.0926323,115.2774346
0.744417424,22.3,57.45603667,109.6451646,116.3150894
0.744283748,22.3,58.95422,110.1705831,117.3410501
0.744241329,21.6,60.13704,110.6857161,118.3607196
0.744284311,21.6,61.89456333,111.4144729,119.5553122
0.744788995,21.2,62.42031,111.6163719,120.0120255
0.744901849,21.2,63,111.7524989,120.4016144
0.745701975,20.7,63,111.7328097,120.5175006
0.745994075,20.7,63,111.6323803,120.5043941
0.746062327,20.3,63,111.6564745,120.6227618
0.746071391,20.3,63,111.6754081,120.6223551
0.746004988,20,63,111.5978062,120.7164073
0.746017158,20,63,111.6157874,120.7158612
0.746165999,20.3,63,111.6140507,120.6181101
0.746727305,20.3,63,111.5683309,120.5929243
0.746980429,20.4,63,111.5955689,120.5512092
0.746949903,20.4,63,111.6476715,120.5525789
