Presion,Temperatura,Frecuencia,Potencia_Medida,Potencia_Estimada
0.758686558,12.7,0,65.90830807,68.1261546
0.756574019,12.7,0,66.55179682,68.29841922
0.750645014,13.1,0,67.9885297,68.61677286
0.745357336,13.1,0.532896667,68.88156624,69.55708955
0.743976899,13.5,4.425236667,72.65772518,73.22334625
0.743908015,14.3,0,64.63308007,68.67077256
0.746766885,15.3,0,64.70291938,68.02484815
0.747039098,15.3,0,64.53429751,68.00265083
0.748293879,16.5,0,63.98765017,67.4049699
0.748967203,16.5,0,64.27807744,67.3500644
0.748610015,16.6,0,64.24593992,67.33791085
0.748816825,16.6,0,64.33099138,67.32104671
0.748859921,16.8,0,64.15707582,67.23497227
0.74899164,16.8,0,64.21956518,67.22423145
0.749000946,16.5,0,64.18179477,67.34731286
0.748998356,16.5,0,64.34672602,67.34752405
0.749044835,17.1,0,64.32188379,67.09605338
0.749092934,17.1,0,64.15435474,67.09213121
0.749740341,17.3,0,64.33339634,66.95677893
0.749972652,17.3,0,64.21036211,66.9378354
0.750273309,17.1,0,64.03496509,66.99587882
0.751485347,17.1,0,63.97491846,66.89704457
0.751941898,17.2,0,63.94712993,66.81853554
0.752205621,17.2,0,63.72315675,66.79703053
0.752340949,17.4,0,63.83245706,66.70343513
0.752236044,17.4,0,63.75935736,66.71198951
0.752568597,17.3,0,63.67035948,66.72615201
0.753254591,17.3,0,63.72393381,66.67021333
0.753476743,17.5,0,63.85472752,66.56953798
0.753667843,17.5,0,63.74132648,66.553955
0.753677306,17.9,0,63.7135847,66.38806295
0.753618305,17.9,0,63.85315726,66.39287406
0.734725778,18.5,46.97496,111.5078401,112.5664765
0.743370242,18.7,72.50669333,129.4300948,131.2743073
0.744980253,18.7,78.50926,131.1886188,131.2743073
0.745180105,18.7,81.07976,131.1743147,131.2743073
0.745328347,18.7,82.74529333,131.1985355,131.2743073
0.745383443,19.1,83.58678333,131.2014911,131.2743073
0.745755631,19.1,84.85212667,131.2085234,131.2743073
0.745912853,19.8,85,131.2159752,131.2743073
0.745990115,19.8,85,131.2216415,131.2743073
0.745983412,20,85,131.2260641,131.2743073
0.745933946,20,85,131.196745,131.2743073
0.746001871,20.2,85,131.2199611,131.2743073
0.746159363,20.2,85,131.1156186,131.2743073
0.746473202,20.7,85,131.139662,131.2743073
0.746946096,20.7,85,131.1988211,131.2743073
0.746995465,20.8,85,131.0836623,131.2743073
0.746998792,20.8,85,130.6953413,131.2743073
0.747069804,21.2,85,131.2144858,131.2743073
0.747481782,21.2,85,131.0306194,131.2743073
0.747902944,21.3,85,130.9126349,131.2743073
0.748727503,21.3,85,131.0298967,131.2743073
0.749039032,21.2,85,130.9006576,131.2743073
0.749529244,21.2,85,130.1251309,131.2743073
0.749829682,21,84.51732667,129.4793803,131.2743073
0.749970308,21,83,129.3617569,131.2743073
0.749603231,21.9,82.07455333,128.4207117,131.2743073
0.749398485,21.9,82,128.7278599,131.2743073
0.749156904,21.6,82,129.1144021,131.2743073
0.748609101,21.6,82,128.7747104,131.2743073
0.747630891,21.6,82,129.003741,131.2743073
0.746949766,21.6,82,129.1466638,131.2743073
0.746454649,22.4,82,129.3714787,131.2743073
0.745735872,22.4,82.21851333,129.3986664,131.2743073
0.745247201,22.4,83.34709667,129.4372771,131.2743073
0.74531626,22.4,84.86077333,129.9885311,131.2743073
0.745057834,22.5,86.68961,130.2661021,131.2743073
0.745040764,22.5,89.39164,130.491693,131.2743073
0.74507304,23,91.65087667,131.2355,131.2743073
0.745044874,23,94.29650667,131.235612,131.2743073
0.745128746,23.1,96.59484667,131.2347895,131.2743073
0.745203388,23.1,98.14931333,131.2345057,131.2743073
0.745488515,22.7,99.45551,131.233745,131.2743073
0.745887203,22.7,100,131.2346131,131.2743073
0.745906049,22.6,100,131.234224,131.2743073
0.745725128,22.6,100,131.2337814,131.2743073
0.745912459,22.1,100,131.2344979,131.2743073
0.746003425,22.1,100,131.2351948,131.2743073
0.746075714,21.7,100,131.2357529,131.2743073
0.746723259,21.7,100,131.235908,131.2743073
0.747108501,21.4,100,131.2361939,131.2743073
0.747859661,21.4,100,131.2361145,131.2743073
0.748633844,21,100,131.2354987,131.2743073
0.748991207,21,100,131.2359715,131.2743073
0.749415746,20.8,99.72987667,131.2361145,131.2743073
0.750111444,20.8,97.32501667,131.236041,131.2743073
0.750366392,20.4,92.89820333,130.8262463,131.2743073
0.750609162,20.4,87.04925,129.7335807,131.2743073
0.75097674,20.2,80.09287,128.6940062,131.2743073
0.750546509,20.2,73.60559667,126.0919415,131.2743073
0.750420884,19.8,68.73814,122.6564424,131.2743073
0.750418711,19.8,63.58412333,119.7609534,126.6188631
0.750148301,19.2,58.67168333,117.0398881,122.1951614
0.750152538,19.2,55.08368333,114.9510951,118.7667768
0.750126541,18.7,51.73286333,113.0104917,115.7738641
0.750254856,18.7,48.81396667,110.5583357,112.9746349
0.750251059,18.4,45.00802667,107.7145344,109.462522
0.750237164,18.4,41.52096667,104.2406294,106.1320559
0.749905659,18,38.55883667,100.447069,103.4941368
0.749684933,18,36.95534667,97.64332026,101.9801327
0.749677649,17.5,35.77809333,95.51895938,101.0623583
0.749344309,17.5,34.55866667,94.27191539,99.92447822
0.748613838,17.1,34,93.7014226,99.61540404
0.748033282,17.1,34,94.0357145,99.66274481
0.747418587,16.6,34,93.89809119,99.91926999
0.747014532,16.6,34,93.91429424,99.95221818
0.746679209,16.1,34,94.01175873,100.1859622
0.746236698,16.1,34,94.68508198,100.2220462
0.745965735,15.8,34.20521,94.90447147,100.5640432
0.745925919,15.8,35,94.87430138,101.3266465
0.745989972,15.4,35,94.75284361,101.4865439
0.746005608,15.4,35,94.77025237,101.4852688
0.745874413,15.2,35,94.33206642,101.5785272
0.745717632,15.2,35.58453333,94.98995619,102.1497853
0.745729702,15.1,36,96.91749264,102.5870254
0.745830804,15.1,36.90659333,97.50063829,103.4449566
0.745995055,15.3,37,98.73766852,103.4382451
0.746127613,15.3,37,98.97787741,103.4274358
0.746227882,15.3,37,99.02690086,103.4192595
0.746459746,15.3,37,98.98290053,103.4003524
0.746650516,15,37,98.9624301,103.5086365
0.746699879,15,37,98.56078164,103.5046113
0.746528478,14.9,37,98.89033564,103.5598681
0.746077877,14.9,37,99.35347784,103.5966118
0.745651703,14.7,37.55952667,98.93323764,104.2485057
0.745880463,14.7,38,100.2264947,104.6506878
0.746079424,14.3,38,101.5299403,104.7995842
0.745817687,14.3,38,101.9536945,104.8209272
0.745708172,14.1,38.20337333,102.3250262,105.1067242
0.745695389,14.1,39.11485667,102.9348604,105.978614
0.745383229,14,40.61508333,103.855135,107.4786921
0.745247863,14,41.81424333,105.6892705,108.6354292
0.745194388,13.8,43.77714,108.3031592,110.5977364
0.745275564,13.8,46.11194,111.1643336,112.8218265
0.745296587,13.6,48.005,111.5537934,114.7113356
0.745293357,13.6,49.44185333,113.4142989,116.0843943
0.745198192,13.5,50.76720333,113.8646032,117.3996975
0.745575007,13.5,52,114.4576892,118.5468064
0.745311564,13.4,53.22776333,115.1392996,119.7825957
0.745019671,13.4,55.73802,118.3505266,122.2047417
0.745053107,13.3,57.93843,119.610884,124.3456062
0.745056744,13.3,60.03913,120.6448662,126.3523558
0.7453522,13.2,61.66572333,121.8353566,127.9236195
0.745606747,13.2,62.99195667,122.1231657,129.1699697
0.745354556,13.1,63.81966667,122.6689097,130.0226233
0.74530144,13.1,65.09710333,123.7789007,131.2474403
0.745001104,13.1,67.55458667,124.7085061,131.2743073
0.745000894,13.1,70.74471,126.379523,131.2743073
0.745011604,13.2,73.89292333,127.0006902,131.2743073
0.745410376,13.2,75.85043667,129.1180145,131.2743073
0.745654059,13.4,76.82156333,129.192359,131.2743073
0.745810587,13.4,77,129.4706755,131.2743073
0.746000051,13.9,77,129.5007032,131.2743073
0.746000051,13.9,77,129.7679791,131.2743073
0.745999635,13.9,77,129.4742505,131.2743073
0.745996308,13.9,77,129.5494882,131.2743073
0.745885796,13.7,77,130.0380479,131.2743073
0.745666969,13.7,77.11234,130.0762527,131.2743073
0.745396039,13.6,78.62463333,130.157991,131.2743073
0.745765585,13.6,79.55176667,130.3476582,131.2743073
0.745491645,13.7,80,129.8349281,131.2743073
0.745812567,13.7,80.66276,129.3321654,131.2743073
0.750375264,13.9,40.84537333,106.2991088,107.3329255
0.750207444,13.9,37.11442333,100.5778496,103.7819941
0.750031531,13.8,34.2533,96.1386871,101.1040507
0.7501954,13.8,30.50644333,92.59087215,97.51087458
0.750343063,13.9,26.19532,88.98989071,93.33862949
0.750460305,13.9,21.5311,86.1382012,88.87279025
0.750130122,13.9,17.67882667,83.59513773,85.2191841
0.749844313,13.9,15.22919667,81.41907802,82.90206998
0.749827619,13.9,13.26354667,79.73869058,81.02541422
0.748647705,13.9,13,79.53708218,80.86983182
0.747762762,13.9,13,79.82177107,80.94199346
0.746176716,13.9,13,79.58245712,81.07132581
0.745379665,13.9,13.89612333,80.20724081,81.99249259
0.745409916,13.9,15.64516,81.6709199,83.66108659
0.745210752,13.9,17.72977667,83.69805286,85.66900708
0.745386221,13.9,19.77556333,85.22543925,87.60927968
0.745329696,13.8,21.68582333,86.33520096,89.48026549
0.745339188,13.8,23.60976333,87.87576883,91.31765805
0.745328352,13.7,25.62776,89.87222408,93.28785167
0.745572547,13.7,26.85905333,90.65742869,94.44433866
0.745484481,13.7,28.02086333,91.81477714,95.56153383
0.745545477,13.7,29,93.36121704,96.49204459
0.745656746,13.7,30.38642,93.85028247,97.80758168
0.745660676,13.7,31,94.06294314,98.39348648
0.745819104,13.6,31,94.13951744,98.42184775
0.745984388,13.6,31.99625333,94.25962357,99.36020799
0.746662456,13.5,32,93.55290204,99.34977544
0.747319855,13.5,32,93.69765715,99.29616865
0.7484765,13.5,32,94.4367112,99.20185133
0.749434103,13.5,31.07350333,93.72654951,98.23857326
0.749870395,13.4,29.65212333,92.47423104,96.88626463
0.750056897,13.4,26.82142667,90.04039081,94.16655852
0.749935798,13.4,24.31091333,88.56123578,91.7778443
0.750137475,13.4,21.12650333,86.33072949,88.71895673
0.750069311,13.4,17.69473333,84.36654446,85.44574092
0.75006873,13.4,14.60866333,81.2566957,82.49730207
0.749993181,13.4,11.67542333,78.36170141,79.70099285
0.749628339,13.4,9.361213333,76.09774382,77.51970605
0.749607621,13.4,7.30373,73.74624256,75.5556393
0.749729925,13.4,5.578733333,71.91440941,73.89757359
0.74961211,13.3,4.21658,70.15817682,72.64703523
0.7495502,13.3,3.26121,68.55148314,71.73930607
0.749596615,13.3,2.16019,68.10578771,70.68358712
0.749580986,13.3,1.08288,66.77703414,69.65558038
0.748948476,13.3,0,66.28474002,68.67255487
0.746926007,13.3,0,65.93104583,68.83747486
0.745622659,13.4,0.955603333,66.19175053,69.81547519
0.744962342,13.4,4.477156667,69.9591233,73.23387481
0.745133682,13.4,7.802263333,73.93237424,76.39676922
0.745817607,13.4,9,74.54682538,77.48533822
0.746053177,13.3,9,75.15455457,77.50740901
0.745842437,13.3,9.55977,75.78726469,78.05940785
0.745467664,13.4,10.76626667,77.38608196,79.20139661
0.745666249,13.4,12,78.81539771,80.36393397
0.745882436,13.4,12,78.7501244,80.34630523
0.746585591,13.4,12,78.63309452,80.2889673
0.747256902,13.4,12,78.33411899,80.23422598
0.748646739,13.4,12,78.48891691,80.1208933
0.749449848,13.4,11.94311333,78.26323203,80.00105412
0.749654882,13.4,10.67820333,77.69727019,78.77581734
0.749786949,13.4,8.78393,76.50784983,76.95522564
0.749641832,13.4,7.324616667,73.50898185,75.57280509
0.74957725,13.4,6.1809,72.25182776,74.48534409
0.749656033,13.4,4.584596667,69.89772866,72.95378317
0.74951937,13.4,3.318676667,68.71528641,71.75544469
0.749472117,13.4,2.229303333,68.42333599,70.71849117
0.749511966,13.3,1.196553333,67.30215025,69.76981412
0.748562783,13.3,1,67.06462443,69.65942363
0.747366751,13.3,1,67.37423201,69.75695271
0.746609227,13.3,1,67.07538704,69.81872412
0.74554147,13.3,1.91928,67.97682221,70.78408962
0.74530532,13.3,4.17432,69.74900002,72.95785157
0.745447627,13.2,5.658803333,71.98728951,74.40582927
0.745134421,13.2,7.743916667,73.89283632,76.42352373
0.745478026,13.2,9.919073333,76.53084673,78.47368825
0.745438505,13.2,11.45138667,78.03678565,79.9409104
0.745575557,13.2,12.75978333,79.52512086,81.1798001
0.746029741,13.2,13,80.28046222,81.37227145
0.746129307,13.2,13,80.75402278,81.3641525
