Presion,Temperatura,Frecuencia,Potencia_Medida,Potencia_Estimada
0.743207425,12.1,43.48038333,119.5836974,114.2487874
0.744016131,12.1,47.44174333,122.4147866,117.6709393
0.744195735,12.8,49.43215667,122.9435705,119.0564653
0.744103684,12.8,51.6546,123.8472087,121.0272926
0.744063823,13.7,53.97160333,125.4743193,122.6201806
0.744326333,13.7,55.34197333,126.9136667,123.8056286
0.74409887,14.6,57.21986333,126.7727058,125.0283091
0.743246611,14.6,61.99614667,130.0488285,129.324872
0.743553704,15.6,67.98401333,131.9330476,132
0.744214434,15.6,70.72743,132,132
0.744932444,16.2,73.83128,132,132
0.745833107,16.2,78.19539,132,132
0.746602927,17,83.36759667,132,132
0.74743125,17,88.8687,132,132
0.748028905,17.6,92.86979333,132,132
0.748143294,17.6,95.60122,132,132
0.747415635,21.8,36.48721,103.956779,102.7611985
0.752312512,21.8,38,106.248778,103.6402024
0.753780109,21.3,36.40226667,104.5620001,102.3463101
0.753756329,21.3,34.24418333,100.9638929,100.4431097
0.753732631,20.8,32.49323,98.15495807,99.15301057
0.753800556,20.8,30.83021333,96.55503388,97.6783629
0.753888417,20.4,28.61095,94.05896278,95.91365013
0.753673241,20.4,26.33388667,91.99840798,93.92324882
0.753781141,20.1,24.59448,90.74134782,92.52961395
0.753516968,20.1,23.09845667,90.43717505,91.23337895
0.752447561,19.7,23,90.2135203,91.44909592
0.751872899,19.7,23,89.96031477,91.50268756
0.749299717,19.3,25.79717333,92.4681414,94.41525691
0.748772132,19.3,30.97744,97.61994293,99.03822691
0.748392616,18.8,36.74448333,105.1395147,104.4191115
0.748314137,18.8,43.76452,112.0863436,110.6245714
0.748699545,18.3,49.87778667,116.5914286,116.2398091
0.748738827,18.3,55.26414333,120.1058981,120.9918757
0.748967932,17.8,59.5211,122.8537461,124.9827138
0.74904532,17.8,62.59417333,124.8609519,127.6887793
0.749204929,17.3,65.22631667,126.718343,130.2515157
0.749225477,17.3,67.15270333,126.8143492,131.9504476
0.749525241,16.9,68.94119667,127.6364898,132
0.749381294,16.9,69.84137667,128.4679365,132
0.749338102,16.5,71.49735,129.6985363,132
0.749893164,16.5,72,130.3106939,132
0.750130288,16.2,72,131.117858,132
0.750077858,16.2,72.63646,131.4294587,132
0.750282296,15.9,73,130.8260842,132
0.750565472,15.9,73,130.7036127,132
0.751273227,15.4,73,131.1008411,132
0.751867186,15.4,73,130.8338361,132
0.752748458,15,73,131.3384376,132
0.75371872,15,71.76817,131.7900549,132
0.754291643,14.6,68.13366667,130.5705006,132
0.75433115,14.6,63.59019,127.7039319,129.69857
0.754234271,14.3,59.23127333,125.0119588,126.0112107
0.75415197,14.3,55.16315333,123.0932027,122.4270552
0.754109732,14.2,51.96738,120.9810321,119.6601064
0.754071872,14.2,48.77033667,118.8710924,116.8408988
0.754167789,14.1,45.48536333,117.1722299,113.9823093
0.753901882,14.1,43.21007667,115.1295806,111.9982077
0.753963797,13.8,41.30890667,114.1954999,110.466037
0.753828934,13.8,39.57742667,112.2926231,108.9498531
0.753282171,13.5,38.21641,111.772988,107.9513592
0.752471391,13.5,39,112.7513951,108.718819
0.750174971,13.3,39.77205333,113.0526228,109.7160982
0.748228654,13.3,44.25304667,116.6810098,113.8539722
0.747877458,13.1,53.17579333,122.2633448,121.8662668
0.747993713,13.1,62.49941,127.3080387,130.0874467
0.747866471,12.9,71.50884,131.377928,132
0.747736252,12.9,81.89736333,132,132
0.748082175,12.8,92.22604,132,132
0.759549479,10.9,10.25247333,86.32677286,83.99588015
0.757852936,10.9,6.21852,81.834361,80.59243157
0.755818177,10.7,3.05735,79.88397888,78.09258137
0.75531911,10.7,1.226313333,78.58916889,76.52246157
0.754734144,10.4,0,77.56028601,75.6464628
0.753743116,10.4,0,76.73484529,75.73888367
0.752157989,10.3,0,76.97630892,75.93743784
0.749708648,10.3,2.27315,79.64185508,78.17287036
0.749371899,10.3,8.962433333,85.54272678,84.11038677
0.748987766,10.3,18.10815,92.68450433,92.22115984
0.749495908,10.3,27.20509667,100.4126256,100.2056615
0.750113629,10.3,31.7991,105.9399519,104.2041986
